"Age","l.x.","Country","Year","Sex"
85,0.5390605,"BEL",2008,2
90,0.316334,"BEL",2008,2
95,0.118687,"BEL",2008,2
100,0.024093,"BEL",2008,2
105,0.002331,"BEL",2008,2
0,1,"BEL",2009,1
1,0.99684,"BEL",2009,1
5,0.995181,"BEL",2009,1
10,0.994772,"BEL",2009,1
15,0.994143,"BEL",2009,1
20,0.992432,"BEL",2009,1
25,0.988542,"BEL",2009,1
30,0.984546,"BEL",2009,1
35,0.980271,"BEL",2009,1
40,0.974164,"BEL",2009,1
45,0.965567,"BEL",2009,1
50,0.951877,"BEL",2009,1
55,0.92747,"BEL",2009,1
60,0.891459,"BEL",2009,1
65,0.840948,"BEL",2009,1
70,0.769233,"BEL",2009,1
75,0.671073,"BEL",2009,1
80,0.532519,"BEL",2009,1
85,0.353238,"BEL",2009,1
90,0.167948,"BEL",2009,1
95,0.048128,"BEL",2009,1
100,0.006548,"BEL",2009,1
105,0.000475,"BEL",2009,1
0,1,"BEL",2009,2
1,0.997262,"BEL",2009,2
5,0.996203,"BEL",2009,2
10,0.995634,"BEL",2009,2
15,0.995195,"BEL",2009,2
20,0.994066,"BEL",2009,2
25,0.992589,"BEL",2009,2
30,0.991076,"BEL",2009,2
35,0.988834,"BEL",2009,2
40,0.985908,"BEL",2009,2
45,0.980327,"BEL",2009,2
50,0.97171,"BEL",2009,2
55,0.957316,"BEL",2009,2
60,0.9366,"BEL",2009,2
65,0.907689,"BEL",2009,2
70,0.865354,"BEL",2009,2
75,0.804836,"BEL",2009,2
80,0.707019,"BEL",2009,2
85,0.543711,"BEL",2009,2
90,0.323976,"BEL",2009,2
95,0.123688,"BEL",2009,2
100,0.025425,"BEL",2009,2
105,0.002869,"BEL",2009,2
0,1,"BEL",2010,1
1,0.996443,"BEL",2010,1
5,0.994971,"BEL",2010,1
10,0.994388,"BEL",2010,1
15,0.993764,"BEL",2010,1
20,0.991915,"BEL",2010,1
25,0.988313,"BEL",2010,1
30,0.983912,"BEL",2010,1
35,0.979452,"BEL",2010,1
40,0.973656,"BEL",2010,1
45,0.965532,"BEL",2010,1
50,0.951961,"BEL",2010,1
55,0.930475,"BEL",2010,1
60,0.896201,"BEL",2010,1
65,0.845033,"BEL",2010,1
70,0.774331,"BEL",2010,1
75,0.676709,"BEL",2010,1
80,0.540109,"BEL",2010,1
85,0.359668,"BEL",2010,1
90,0.175094,"BEL",2010,1
95,0.052811,"BEL",2010,1
100,0.008184,"BEL",2010,1
105,0.000617,"BEL",2010,1
0,1,"BEL",2010,2
1,0.997639,"BEL",2010,2
5,0.996412,"BEL",2010,2
10,0.996106,"BEL",2010,2
15,0.99567,"BEL",2010,2
20,0.994866,"BEL",2010,2
25,0.993537,"BEL",2010,2
30,0.991642,"BEL",2010,2
35,0.989569,"BEL",2010,2
40,0.986065,"BEL",2010,2
45,0.980931,"BEL",2010,2
50,0.97259,"BEL",2010,2
55,0.95851,"BEL",2010,2
60,0.938682,"BEL",2010,2
65,0.908956,"BEL",2010,2
70,0.867498,"BEL",2010,2
75,0.807869,"BEL",2010,2
80,0.711728,"BEL",2010,2
85,0.550662,"BEL",2010,2
90,0.331137,"BEL",2010,2
95,0.128293,"BEL",2010,2
100,0.026375,"BEL",2010,2
105,0.002417,"BEL",2010,2
0,1,"BEL",2011,1
1,0.9966745,"BEL",2011,1
5,0.99524,"BEL",2011,1
10,0.9946685,"BEL",2011,1
15,0.9940365,"BEL",2011,1
20,0.992271,"BEL",2011,1
25,0.9887185,"BEL",2011,1
30,0.9844595,"BEL",2011,1
35,0.9801235,"BEL",2011,1
40,0.974462,"BEL",2011,1
45,0.966254,"BEL",2011,1
50,0.9536505,"BEL",2011,1
55,0.932549,"BEL",2011,1
60,0.898198,"BEL",2011,1
65,0.8475055,"BEL",2011,1
70,0.7777235,"BEL",2011,1
75,0.6821025,"BEL",2011,1
80,0.548402,"BEL",2011,1
85,0.3719355,"BEL",2011,1
90,0.185745,"BEL",2011,1
95,0.0559145,"BEL",2011,1
100,0.00912,"BEL",2011,1
105,0.0003285,"BEL",2011,1
0,1,"BEL",2011,2
1,0.9974035,"BEL",2011,2
5,0.99626,"BEL",2011,2
10,0.9957625,"BEL",2011,2
15,0.9953305,"BEL",2011,2
20,0.9944485,"BEL",2011,2
25,0.9931145,"BEL",2011,2
30,0.9916305,"BEL",2011,2
35,0.989488,"BEL",2011,2
40,0.986489,"BEL",2011,2
45,0.981843,"BEL",2011,2
50,0.973433,"BEL",2011,2
55,0.959805,"BEL",2011,2
60,0.9390405,"BEL",2011,2
65,0.9095675,"BEL",2011,2
70,0.8694575,"BEL",2011,2
75,0.8093225,"BEL",2011,2
80,0.7168285,"BEL",2011,2
85,0.55906,"BEL",2011,2
90,0.339132,"BEL",2011,2
95,0.13291,"BEL",2011,2
100,0.0284615,"BEL",2011,2
105,0.003012,"BEL",2011,2
0,1,"BEL",2012,1
1,0.995625,"BEL",2012,1
5,0.994671,"BEL",2012,1
10,0.994154,"BEL",2012,1
15,0.993405,"BEL",2012,1
20,0.991456,"BEL",2012,1
25,0.9883,"BEL",2012,1
30,0.984587,"BEL",2012,1
35,0.980152,"BEL",2012,1
40,0.974459,"BEL",2012,1
45,0.966105,"BEL",2012,1
50,0.95317,"BEL",2012,1
55,0.930553,"BEL",2012,1
60,0.894952,"BEL",2012,1
65,0.842093,"BEL",2012,1
70,0.770557,"BEL",2012,1
75,0.669765,"BEL",2012,1
80,0.532024,"BEL",2012,1
85,0.351665,"BEL",2012,1
90,0.164492,"BEL",2012,1
95,0.042369,"BEL",2012,1
100,0.005335,"BEL",2012,1
105,0.000165,"BEL",2012,1
